pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
5.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,1,Murder atchin,16,14,19,16,63,59,94,58,56,97,+,5,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,2,Att.to.C.Murder,18,16,25,23,109,105,96,78,69,88,+,31,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,3,Dacoity,4,3,4,3,18,15,83,11,10,91,+,7,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,4,Robbery (Excluding Chain Sn g),71,43,69,48,396,312,79,343,253,74,+,53,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,5,Robbery -Chain Snatching,14,4,7,3,52,30,58,71,32,45,-,19,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,6,Extortion,16,9,13,10,93,75,81,63,52,83,+,30,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,7,H.B.T.Day / Night,165,34,169,41,932,354,38,966,356,37,-,34,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,8,Thefts,492,115,569,110,"2,678",787,29,"2,752",693,25,-,74,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,9,M.V.Thefts.,248,53,262,33,"1,450",484,33,"1,177",291,25,+,273,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,10,Hurt,428,320,431,319,"2,222","1,892",85,"1,959","1,599",82,+,263,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,11,Riots.,44,29,37,21,285,214,75,175,135,77,+,110,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,12,Rape,60,45,72,57,359,306,85,275,224,81,+,84,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,13,Molestaion,206,136,231,165,"1,119",868,78,894,662,74,+,225,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,14,Other I.P.C.,"1,275",646,"1,364",679,"6,985","4,264",61,"6,495","3,777",58,+,490,01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
5.pdf,,Total,"3,057","1,467","3,272","1,528","16,761","9,765",58,"15,317","8,209",54,+,"1,444",01.05.2018,01.04.2018,2018-05,01.01.2018,01.01.2017,31.05.2018,30.04.2018,31.05.2017,
