pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
7.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Y,ear,of,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,1,Murder atchin,13,11,21,18,98,91,93,79,76,96,+,19,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,2,Att.to.C.Murder,15,13,22,21,146,140,96,118,111,94,+,28,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,3,Dacoity,2,2,1,1,24,23,96,17,17,100,+,7,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,4,Robbery (Excluding Chain Sn g),78,60,70,55,541,453,84,481,380,79,+,60,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,5,Robbery -Chain Snatching,9,4,13,2,74,39,53,100,57,57,-,26,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,6,Extortion,17,10,17,12,127,104,82,97,76,78,+,30,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,7,H.B.T.Day / Night,203,46,154,31,"1,289",551,43,"1,330",515,39,-,41,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,8,Thefts,502,136,449,112,"3,628","1,199",33,"3,820","1,037",27,-,192,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,9,M.V.Thefts.,217,34,232,25,"1,899",673,35,"1,671",471,28,+,228,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,10,Hurt,380,291,409,302,"3,010","2,669",89,"2,702","2,332",86,+,308,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,11,Riots.,26,21,41,25,352,285,81,260,210,81,+,92,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,12,Rape,74,62,55,37,505,454,90,407,349,86,+,98,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,13,Molestaion,171,114,175,108,"1,463","1,149",79,"1,257",954,76,+,206,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,14,Other I.P.C.,"1,256",746,"1,290",609,"9,517","6,120",64,"9,137","5,719",63,+,380,01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
7.pdf,,Total,"2,963","1,550","2,949","1,358","22,673","13,950",62,"21,476","12,304",57,+,"1,197",01.07.2018,01.06.2018,2018-07,01.01.2018,01.01.2017,31.07.2018,30.06.2018,31.07.2017,
