pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
10.pdf,,No.,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,of,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,1,Murder atchin,14,13,16,16,140,134,96,110,107,97,+,30,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,2,Att.to.C.Murder,29,28,24,19,227,220,97,171,160,94,+,56,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,3,Dacoity,2,2,1,1,30,29,97,24,24,100,+,6,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,4,Robbery (Excluding Chain Sn g),85,66,76,62,784,687,88,702,579,82,+,82,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,5,Robbery -Chain Snatching,26,9,19,6,138,81,59,152,93,61,-,14,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,6,Extortion,21,15,16,11,193,160,83,155,127,82,+,38,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,7,H.B.T.Day / Night,176,54,205,57,"1,877",895,48,"2,000",856,43,-,123,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,8,Thefts,568,119,470,113,"5,205","1,814",35,"5,503","1,704",31,-,298,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,9,M.V.Thefts.,306,49,258,47,"2,694","1,054",39,"2,407",734,30,+,287,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,10,Hurt,542,398,458,350,"4,400","3,960",90,"3,925","3,443",88,+,475,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,11,Riots.,47,36,40,34,486,412,85,355,290,82,+,131,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,12,Rape,66,51,59,42,730,674,92,588,516,88,+,142,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,13,Molestaion,286,193,235,164,"2,182","1,769",81,"1,814","1,381",76,+,368,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,14,Other I.P.C.,"1,984","1,319","1,222",652,"14,096","9,741",69,"14,017","9,508",68,+,79,01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
10.pdf,,Total,"4,152","2,352","3,099","1,574","33,182","21,630",65,"31,923","19,522",61,+,"1,259",01.10.2018,01.09.2018,2018-10,01.01.2018,01.01.2017,31.10.2018,30.09.2018,31.10.2017,
